APP_NAM,APP_CATALOG2,APP_CATALOG1,APP_RULE,VER,cmi_app_id
宜搜搜索,浏览器,系统工具,assets.easou.com,1,451
宜搜搜索,浏览器,系统工具,pvcall.easou.com,1,452
宜搜搜索,浏览器,系统工具,tjlog.easou.com,1,453
宜搜搜索,浏览器,系统工具,.easou.com,1,454
移动梦网,新闻·资讯,新闻阅读,mmsc.monternet.com,1,455
音悦台,在线音乐,音乐,mapi.yinyuetai.com,1,456
音悦台,在线音乐,音乐,yinyuetai.com,1,457
应用宝,搜索·下载,系统工具,ai.myapp.com,1,458
应用宝,搜索·下载,系统工具,dd.myapp.com,1,459
应用宝,搜索·下载,系统工具,.myapp.com,1,460
游戏宝典,益智,休闲时间,b.yxpopo.com,1,461
游族网络游戏平台,搜索·下载,系统工具,logxx.ns.youzu.com,1,462
有道词典,语言学习·单词,教育培训,dictpushreg.youdao.com,1,463
有道词典,语言学习·单词,教育培训,m.youdao.com,1,464
有信免费电话,聊天,聊天社交,api.uxin.com,1,465
有信免费电话,聊天,聊天社交,friend.uxin.com,1,466
有信免费电话,聊天,聊天社交,im.uxin.com,1,467
有信免费电话,聊天,聊天社交,www.uxin.com,1,468
有缘网,交友,聊天社交,px1.youyuan.com,1,469
遇见,聊天,聊天社交,push.iaround.com,1,470
掌游天下,,,os.zplayworld.com,1,471
掌阅iReader,电子书,新闻阅读,.zhangyue.com,1,472
折800,商城,购物,m.api.zhe800.com,1,473
支付宝钱包,支付,金融理财,d.alipay.com,1,474
支付宝钱包,支付,金融理财,mcgw.alipay.com,1,475
支付宝钱包,支付,金融理财,mclient.alipay.com,1,476
支付宝钱包,支付,金融理财,mcometgw.alipay.com,1,477
支付宝钱包,支付,金融理财,mdap.alipay.com,1,478
支付宝钱包,支付,金融理财,mobilecns.alipay.com,1,479
支付宝钱包,支付,金融理财,mobilegw.alipay.com,1,480
支付宝钱包,支付,金融理财,mobilepmgw.alipay.com,1,481
支付宝钱包,支付,金融理财,seccliapi.alipay.com,1,482
支付宝钱包,支付,金融理财,ynuf.alipay.com,1,483
支付宝钱包,支付,金融理财,.alipay.com,1,484
中国联通沃商店,搜索·下载,系统工具,unipayupg.wostore.cn,1,485
中国联通沃商店,搜索·下载,系统工具,uniview.wostore.cn,1,486
CHINA DAILY （中国日报）,新闻·资讯,新闻阅读,www.chinadaily.com.cn,1,487
飞信,邮箱,效率办公,mnav.fetion.com.cn,1,488
中华万年历日历,天气,生活实用工具,marketing.etouch.cn,1,489
中华万年历日历,天气,生活实用工具,wthrcdn.etouch.cn,1,490
中华万年历日历,天气,生活实用工具,zhwnlapi.etouch.cn,1,491
追书神器,电子书,新闻阅读,api.zhuishushenqi.com,1,492
追书神器,电子书,新闻阅读,chapter.zhuishushenqi.com,1,493
追书神器,电子书,新闻阅读,.zhuishushenqi.com,1,494
root专家（卓大师）,root,系统工具,.opda.com,1,495
QQ浏览器,浏览器,系统工具,imtt.qq.com,1,496
天天动听,在线音乐,音乐,.dongting.com,1,497
超级课程表,交友,聊天社交,.myfriday.cn,1,498
360卫士,安全,系统工具,passport.360.cn,1,499
360卫士,安全,系统工具,msch.f.360.cn/MobiVirusCheck,1,500
腾讯手机管家,安全,系统工具,tools.3g.qq.com,1,501
腾讯手机管家,安全,系统工具,mazu.3g.qq.com,1,502
腾讯手机管家,安全,系统工具,m.qq.com,1,503
QQ安全中心,安全,系统工具,rqd.uu.qq.com/rqd/sync,1,504
QQ安全中心,安全,系统工具,w.aq.qq.com/cn/mbtoken3,1,505
LBE安全大师,安全,系统工具,pp.lbesec.com,1,506
LBE安全大师,安全,系统工具,mkt.lbesec.com,1,507
LBE安全大师,安全,系统工具,www.lbesec.com,1,508
LBE安全大师,安全,系统工具,.lbesec.com,1,509
乐安全,安全,系统工具,fsr.lenovomm.com,1,510
乐安全,安全,系统工具,sss.lenovomm.com,1,511
乐安全,安全,系统工具,lesafe.dcu.lenovomm.com,1,512
乐安全,安全,系统工具,susapi.lenovomm.com,1,513
金山手机毒霸,安全,系统工具,infoc2.duba.net,1,514
金山手机毒霸,安全,系统工具,rq.phone.cloud.duba.net,1,515
金山手机卫士,安全,系统工具,cloud-q.duba.net,1,516
手机加速神器,安全,系统工具,c.interface.at321.cn,1,517
猎豹清理大师（原金山清理大师）,优化,系统工具,n.m.liebao.cn,1,518
猎豹清理大师（原金山清理大师）,优化,系统工具,up.cm.ksmobile.com,1,519
猎豹清理大师（原金山清理大师）,优化,系统工具,lc.cm.ksmobile.com,1,520
猎豹清理大师（原金山清理大师）,优化,系统工具,www.cm.ksmobile.com,1,521
猎豹清理大师（原金山清理大师）,优化,系统工具,.ksmobile.com,1,522
安兔兔评测,优化,系统工具,autovote.antutu.net,1,523
安兔兔评测,优化,系统工具,update.antutu.net,1,524
安兔兔评测,优化,系统工具,srtj.antutu.net,1,525
安兔兔评测,优化,系统工具,info.antutu.net,1,526
鲁大师,Wi-Fi,系统工具,sjrank.ludashi.com,1,527
鲁大师,Wi-Fi,系统工具,s1.ludashi.com,1,528
百度一键root,root,系统工具,s.baidu.com/rootdc,1,529
百度一键root,root,系统工具,nj.bs.baidu.com/approot,1,530
金山电池医生,优化,系统工具,cntj.zj.dcys.ijinshan.com,1,531
金山电池医生,优化,系统工具,up.dcys.ijinshan.com,1,532
腾讯电池管家,优化,系统工具,pmir.3g.qq.com,1,533
点心省电,优化,系统工具,ak.dxsvr.com,1,534
点心省电,优化,系统工具,dxurl.cn,1,535
点心省电,优化,系统工具,dl.dxcnd.cn,1,536
点心省电,优化,系统工具,pasta.dianxinos.com,1,537
点心省电,优化,系统工具,u.dxsvr.com,1,538
欧朋浏览器,新闻·资讯,新闻阅读,api.oupeng.com,1,539
欧朋浏览器,新闻·资讯,新闻阅读,ip.oupeng.com,1,540
欧朋浏览器,新闻·资讯,新闻阅读,dds.oupeng.com,1,541
多看阅读-小说书城,电子书,新闻阅读,www.duokan.com,1,542
多看阅读-小说书城,电子书,新闻阅读,picture.duokan.com,1,543
九游游戏中心,新闻·资讯,新闻阅读,biz.assistant.9game.cn,1,544
九游游戏中心,新闻·资讯,新闻阅读,sys.assistant.9game.cn,1,545
九游游戏中心,新闻·资讯,新闻阅读,check.assistant.9game.cn,1,546
九游游戏中心,新闻·资讯,新闻阅读,stat.assistant.9game.cn,1,547
书旗小说,电子书,新闻阅读,api10.shuqireader.com,1,548
书旗小说,电子书,新闻阅读,api8.shuqireader.com,1,549
网易新闻,新闻·资讯,新闻阅读,m.163.com,1,550
网易新闻,新闻·资讯,新闻阅读,c.m.163.com,1,551
网易新闻,新闻·资讯,新闻阅读,g1.163.com,1,552
QQ浏览器,浏览器,系统工具,imtt.qq.com,1,553
QQ浏览器,浏览器,系统工具,wup.imtt.qq.com,1,554
今日头条,新闻·资讯,新闻阅读,dm.toutiao.com,1,555
一点资讯,新闻·资讯,新闻阅读,www.yidianzixun.com,1,556
一点资讯,新闻·资讯,新闻阅读,a1.go2yd.com,1,557
一点资讯,新闻·资讯,新闻阅读,h.go2yd.com,1,558
腾讯新闻,新闻·资讯,新闻阅读,r.inews.qq.com,1,559
腾讯新闻,新闻·资讯,新闻阅读,w.inews.qq.com,1,560
知乎,新闻·资讯,新闻阅读,analytics.zhihu.com,1,561
同花顺,新闻·资讯,新闻阅读,adm.10jqka.com.cn,1,562
同花顺,新闻·资讯,新闻阅读,mlife.cmbchina.com,1,563
汽车之家,新闻·资讯,新闻阅读,ad.app.autohome.com.cn,1,564
汽车之家,新闻·资讯,新闻阅读,app.stats.autohome.com.cn,1,565
汽车之家,新闻·资讯,新闻阅读,cont.app.autohome.com.cn,1,566
汽车之家,新闻·资讯,新闻阅读,.autohome.com.cn,1,567
搜狐新闻,新闻·资讯,新闻阅读,api.tv.sohu.com,1,568
搜狐新闻,新闻·资讯,新闻阅读,api.k.sohu.com,1,569
搜狐新闻,新闻·资讯,新闻阅读,pic.k.sohu.com,1,570
凤凰新闻,新闻·资讯,新闻阅读,incss.ifeng.com,1,571
凤凰新闻,新闻·资讯,新闻阅读,api.3g.ifeng.com,1,572
凤凰新闻,新闻·资讯,新闻阅读,exp.3g.ifeng.com,1,573
ZAKER新闻杂志,新闻·资讯,新闻阅读,iphone.myzaker.com,1,574
115网盘,文件管理,系统工具,im7.115.com,1,1
12306官方版,交通票务,交通导航,kyfw.12306.cn,1,2
12306官方版,交通票务,交通导航,.12306.cn,1,3
25PP助手,优化,系统工具,mobileup.25pp.com,1,4
25PP助手,优化,系统工具,passport_i.25pp.com,1,5
25PP助手,优化,系统工具,.25pp.com,1,6
360浏览器,浏览器,系统工具,s.mse.360.cn,1,7
360联盟,,,stat.lianmeng.360.cn,1,8
360卫士,安全,系统工具,cloudscan.shouji.360.cn,1,9
360卫士,安全,系统工具,notice.shouji.360.cn,1,10
360手机助手,优化,系统工具,free.api.sj.360.cn,1,11
360游戏中心,搜索·下载,系统工具,msg.mgame.360.cn,1,12
3G门户,新闻·资讯,新闻阅读,imupdate.3g.cn,1,13
500彩票,彩票,金融理财,em.500.com,1,14
500彩票,彩票,金融理财,.500.com,1,15
58同城,租房·短租,生活服务,bangbang.58.com,1,16
58同城,租房·短租,生活服务,static.58.com,1,17
58同城,租房·短租,生活服务,.58.com,1,18
91数字娱乐,搜索·下载,系统工具,api.weather.rj.91.com,1,19
91数字娱乐,搜索·下载,系统工具,appuse.sj.91.com,1,20
91数字娱乐,搜索·下载,系统工具,logstatic.sj.91.com,1,21
91数字娱乐,搜索·下载,系统工具,pandahome.sj.91.com,1,22
91数字娱乐,搜索·下载,系统工具,push2.sj.91.com,1,23
相机360（美颜自拍）,相机,图像,pplog.camera360.com,1,24
相机360（美颜自拍）,相机,图像,pushmsg.camera360.com,1,25
相机360（美颜自拍）,相机,图像,store.camera360.com,1,26
相机360（美颜自拍）,相机,图像,.camera360.com,1,27
CNZZ数据专家,,,c.cnzz.com,1,28
CNZZ数据专家,,,q14.cnzz.com,1,29
CNZZ数据专家,,,q17.cnzz.com,1,30
CNZZ数据专家,,,s4.cnzz.com,1,31
CNZZ数据专家,,,w.cnzz.com,1,32
CNZZ数据专家,,,z11.cnzz.com,1,33
CNZZ数据专家,,,z4.cnzz.com,1,34
CNZZ数据专家,,,.cnzz.com,1,35
海豚浏览器,浏览器,系统工具,scn.dolphin-browser.com,1,36
doubleclick,,,googleads.g.doubleclick.net,1,37
Facebook,聊天,聊天社交,graph.facebook.com,1,38
Flyme,,,www.flyme.cn,1,39
Gameloft下载器,搜索·下载,系统工具,gllive.gameloft.com,1,40
Gameloft下载器,搜索·下载,系统工具,ingameads.gameloft.com,1,41
Gameloft下载器,搜索·下载,系统工具,interstatic06.gameloft.com,1,42
Gameloft下载器,搜索·下载,系统工具,.gameloft.com,1,43
iTunes,音乐播放器,音乐,tunes.apple.com,1,44
iTunes,音乐播放器,音乐,andbox.itunes.apple.com,1,45
MIUI浏览器,浏览器,系统工具,r.browser.miui.com,1,46
NearMe应用商店,下载,系统工具,i3.store.nearme.com.cn,1,47
手机QQ,聊天,聊天社交,cgi.connect.qq.com,1,48
手机QQ,聊天,聊天社交,p.qlogo.cn,1,49
QQ空间,交友,聊天社交,qzonestyle.gtimg.cn,1,50
QQ空间,交友,聊天社交,client.qzone.com,1,51
QQ浏览器,浏览器,系统工具,mb.qq.com,1,52
QQ音乐,在线音乐,音乐,stat.3g.music.qq.com,1,53
QQ手机游戏商城,搜索·下载,系统工具,gamehall.3g.qq.com,1,54
腾讯相册管家,相册·图库,图像,b148.photo.store.qq.com,1,55
腾讯相册管家,相册·图库,图像,b388.photo.store.qq.com,1,56
QQ音乐,在线音乐,音乐,proxy.music.qq.com,1,57
QQ音乐,在线音乐,音乐,s.plcloud.music.qq.com,1,58
QQ音乐,在线音乐,音乐,.music.qq.com,1,59
QQ音乐,在线音乐,音乐,y.qq.com,1,60
QQ邮箱,办公软件,效率办公,.mail.qq.com,1,61
QQ阅读,电子书,新闻阅读,ireader.qq.com,1,62
QQ阅读,电子书,新闻阅读,reader.html5.qq.com,1,63
UC浏览器,浏览器,系统工具,addon.uc.cn,1,64
UC浏览器,浏览器,系统工具,browser.cloud.uc.cn,1,65
UC浏览器,浏览器,系统工具,down4.ucweb.com,1,66
UC浏览器,浏览器,系统工具,puds.ucweb.com,1,67
UC浏览器,浏览器,系统工具,.ucweb.com,1,68
UC浏览器,浏览器,系统工具,.uc.cn,1,69
UC浏览器,浏览器,系统工具,sdknc.g.uc.cn,1,70
UC浏览器,浏览器,系统工具,vs3.gzcm.u3.gtm.ucweb.com,1,71
Vungle,,,api.vungle.com,1,72
V告,,,ad.veegao.com,1,73
WiFi万能钥匙,Wi-Fi,系统工具,wifi01.51y5.com,1,74
WiFi万能钥匙,Wi-Fi,系统工具,wifiapi02.51y5.net,1,75
WiFi万能钥匙,Wi-Fi,系统工具,.51y5.net,1,76
WiFi万能钥匙,Wi-Fi,系统工具,.lianwifi.com,1,77
YY,在线视频,视频,data.3g.yy.com,1,78
YY,在线视频,视频,m.live.yy.com,1,79
YY,在线视频,视频,report.m.yy.com,1,80
YY,在线视频,视频,static.m.yy.com,1,81
ZAKER新闻杂志,新闻·资讯,新闻阅读,iphone.myzaker.com,1,82
ZAKER新闻杂志,新闻·资讯,新闻阅读,push.myzaker.com,1,83
ZAKER新闻杂志,新闻·资讯,新闻阅读,zkres.myzaker.com,1,84
ZAKER新闻杂志,新闻·资讯,新闻阅读,.myzaker.com,1,85
Zynga,,,zc2.ayakashi.zynga.com,1,86
阿里旺旺,聊天,聊天社交,gw.alicdn.com,1,87
淘宝随身购,商城,购物,acjs.aliyun.com,1,88
淘宝随身购,商城,购物,apps.aliyun.com,1,89
阿里云,存储·云盘,效率办公,.aliyun.com,1,90
书旗小说,电子书,新闻阅读,api7.shuqireader.com,1,91
书旗小说,电子书,新闻阅读,api8.shuqireader.com,1,92
书旗小说,电子书,新闻阅读,c2.shuqireader.com,1,93
书旗小说,电子书,新闻阅读,.shuqireader.com,1,94
爱刷机,root,系统工具,app.down.ishuaji.cn,1,95
爱刷机,root,系统工具,.ishuaji.cn,1,96
爱图购,团购·优惠券,购物,in.itugo.com,1,97
安卓壁纸,壁纸,美化手机,analytic.androidesk.com,1,98
安卓市场,搜索·下载,系统工具,market.hiapk.com,1,99
傲游云浏览器,浏览器,系统工具,mad.m.maxthon.cn,1,100
百度地图,地图·导航,交通导航,api.map.baidu.com,1,101
百度地图,地图·导航,交通导航,client.map.baidu.com,1,102
百度地图,地图·导航,交通导航,.map.baidu.com,1,103
百度地图,地图·导航,交通导航,dl.imap.baidu.com,1,104
